"Cst_Cnt","Btl_Cnt","Depthm","T_degC","Salnty","ChlorA"
28108,691492,0,13.86,33.39,3.04
28108,691493,2,13.86,33.398,3.04
28108,691494,5,13.85,33.398,2.87
28108,691495,10,13.75,33.398,3.04
28108,691496,15,13.33,33.409,6.84
28108,691497,20,12.59,33.463,2.86
28108,691498,30,11.81,33.554,0.28
28108,691499,40,11.4,33.599,0.19
28108,691500,50,10.91,33.676,0.12
28108,691501,60,10.78,33.711,0.1
28109,691502,0,14.51,33.41,0.74
28109,691503,1,14.51,33.417,0.74
28109,691504,10,14.39,33.417,1.1
28109,691505,20,13.79,33.426,4.35
28109,691506,21,13.71,33.428,4.58
28109,691507,30,12.85,33.471,1.62
28109,691508,31,12.75,33.477,1.2
28109,691509,41,11.86,33.55,0.26
28109,691510,50,11.46,33.594,0.15
28109,691511,60,11.28,33.611,0.13
28109,691512,70,10.99,33.656,0.07
28109,691513,75,10.75,33.677,0.06
28109,691514,85,10.27,33.726,0.05
28109,691515,100,9.9,33.824,0.03
28109,691516,120,9.74,33.926,0.01
28109,691517,125,9.72,33.95,0.01
28109,691518,139,9.68,34.017,0.01
28109,691519,150,9.59,34.074,0.01
28109,691520,170,9.4,34.165,0.01
28109,691521,199,9.21,34.227,0
28109,691522,200,9.2,34.228,NA
28109,691523,229,8.98,34.248,NA
28109,691524,250,8.77,34.256,NA
28109,691525,269,8.56,34.259,NA
28109,691526,300,8.17,34.256,NA
28109,691527,319,7.91,34.251,NA
28109,691528,378,7.12,34.241,NA
28109,691529,400,6.93,34.248,NA
28109,691530,436,6.68,34.264,NA
28109,691531,500,6.31,34.282,NA
28109,691532,513,6.24,34.286,NA
28110,691533,0,14.59,33.41,0.39
28110,691534,2,14.59,33.415,0.39
28110,691535,10,14.59,33.418,0.41
28110,691536,20,14.44,33.404,1.65
28110,691537,30,13.74,33.449,0.87
28110,691538,39,12.26,33.524,0.34
28110,691539,50,11.68,33.578,0.23
28110,691540,59,11.59,33.593,0.22
28110,691541,69,10.92,33.63,0.13
28110,691542,75,10.71,33.653,0.09
28110,691543,85,10.48,33.697,0.05
28110,691544,99,10.15,33.785,0.03
28110,691545,100,10.13,33.791,0.03
28110,691546,119,9.83,33.903,0.01
28110,691547,125,9.79,33.945,0.01
28110,691548,139,9.73,34.04,0.01
28110,691549,150,9.65,34.095,0.01
28110,691550,171,9.48,34.171,0
28110,691551,199,9.31,34.227,0
28110,691552,200,9.3,34.228,NA
28110,691553,229,9.04,34.256,NA
28110,691554,250,8.84,34.257,NA
28110,691555,267,8.67,34.257,NA
28110,691556,300,8.29,34.268,NA
28110,691557,317,8.09,34.273,NA
28110,691558,377,7.5,34.265,NA
28110,691559,400,7.26,34.271,NA
28110,691560,437,6.88,34.283,NA
28110,691561,500,6.27,34.293,NA
28110,691562,515,6.13,34.296,NA
28111,691563,0,14.81,33.42,0.47
28111,691564,2,14.81,33.42,0.47
28111,691565,2,14.81,33.421,NA
28111,691566,10,14.77,33.419,0.56
28111,691567,15,14.72,33.417,0.65
28111,691568,20,14.66,33.415,0.73
28111,691569,30,14.54,33.412,0.81
28111,691570,43,13.27,33.451,0.59
28111,691571,50,12.75,33.483,0.41
28111,691572,51,12.69,33.488,0.38
28111,691573,59,12.26,33.525,0.24
28111,691574,66,11.81,33.577,0.16
28111,691575,74,11.67,33.588,0.13
28111,691576,75,11.62,33.591,0.12
28111,691577,83,11.16,33.627,0.08
28111,691578,96,10.59,33.72,0.04
28111,691579,100,10.48,33.734,0.04
28111,691580,109,10.27,33.755,0.03
28111,691581,125,9.91,33.803,0.01
28111,691582,144,9.37,33.905,0
28111,691583,150,9.21,33.938,0
28111,691584,170,8.76,34.031,0
