"Cst_Cnt","Btl_Cnt","Depthm","T_degC","Salnty","ChlorA"
29339,728477,0,14.4,33.59,1.43
29339,728478,1,14.4,33.593,1.43
29339,728479,2,14.42,33.592,NA
29339,728480,6,14.22,33.588,1.22
29339,728481,10,14.09,33.599,1.67
29339,728482,11,14.06,33.602,1.8
29339,728483,19,13.91,33.607,1.67
29339,728484,20,13.85,33.604,1.6
29339,728485,25,13.45,33.587,1.17
29339,728486,30,12.96,33.564,0.76
29339,728487,34,12.59,33.551,0.47
29339,728488,45,12.01,33.58,0.12
29339,728489,50,11.71,33.598,0.2
29339,728490,56,11.34,33.62,0.1
29340,728491,0,14.73,33.59,0.69
29340,728492,2,14.73,33.593,0.69
29340,728493,10,14.47,33.604,1.01
29340,728494,19,14.34,33.603,1.83
29340,728495,20,14.23,33.593,1.74
29340,728496,29,13.14,33.513,0.65
29340,728497,30,13.06,33.515,0.59
29340,728498,40,12.44,33.562,0.25
29340,728499,50,11.8,33.583,0.13
29340,728500,60,11.26,33.663,0.08
29340,728501,70,11.11,33.723,0.05
29340,728502,75,10.99,33.743,0.04
29340,728503,84,10.79,33.774,0.03
29340,728504,100,10.68,33.836,0.02
29340,728505,118,10.21,33.869,0.01
29340,728506,125,10.14,33.904,0.01
29340,728507,139,10.05,33.977,0
29340,728508,150,9.89,34.009,0
29340,728509,168,9.61,34.047,0
29340,728510,199,9.27,34.115,0
29340,728511,200,9.26,34.117,NA
29340,728512,228,8.94,34.166,NA
29340,728513,250,8.78,34.195,NA
29340,728514,269,8.66,34.215,NA
29340,728515,300,8.4,34.237,NA
29340,728516,318,8.23,34.245,NA
29340,728517,377,7.5,34.263,NA
29340,728518,400,7.23,34.265,NA
29340,728519,438,6.82,34.271,NA
29340,728520,500,6.38,34.302,NA
29340,728521,520,6.24,34.313,NA
29341,728522,0,14.72,33.62,0.7
29341,728523,1,14.72,33.629,0.7
29341,728524,10,14.43,33.624,1.25
29341,728525,20,13.55,33.566,1.13
29341,728526,29,12.3,33.586,0.27
29341,728527,30,12.27,33.588,0.26
29341,728528,40,11.98,33.603,0.17
29341,728529,49,11.85,33.618,0.13
29341,728530,50,11.83,33.62,0.13
29341,728531,59,11.6,33.644,0.1
29341,728532,70,11.35,33.668,0.07
29341,728533,75,11.23,33.689,0.06
29341,728534,85,10.99,33.736,0.04
29341,728535,100,10.67,33.803,0.02
29341,728536,120,10.18,33.887,0.01
29341,728537,125,10.11,33.906,0.01
29341,728538,144,9.93,33.97,0
29341,728539,150,9.85,33.988,0
29341,728540,178,9.52,34.058,0
29341,728541,199,9.37,34.103,0
29341,728542,200,9.36,34.104,NA
29341,728543,228,9.07,34.136,NA
29341,728544,250,8.88,34.174,NA
29341,728545,267,8.73,34.202,NA
29341,728546,300,8.31,34.233,NA
29341,728547,317,8.08,34.243,NA
29341,728548,377,7.44,34.247,NA
29341,728549,400,7.2,34.254,NA
29341,728550,436,6.84,34.269,NA
