,Cst_Cnt,Date,Lat_Dec,Lon_Dec
28107,28108,1996-01-30,32.953333,-117.30666599999999
28108,28109,1996-01-30,32.911666,-117.396666
28109,28110,1996-01-30,32.846666,-117.53333300000001
28110,28111,1996-01-30,32.676666,-117.866666
28111,28112,1996-01-30,32.511666,-118.211666
28112,28113,1996-01-31,32.348333000000004,-118.555
28113,28114,1996-01-31,32.183333000000005,-118.89
28114,28115,1996-01-31,32.013333,-119.23
28115,28116,1996-01-31,31.843333,-119.566666
28116,28117,1996-02-01,31.52,-120.243333
28117,28118,1996-02-01,31.185,-120.911666
28118,28119,1996-02-01,30.846666,-121.593333
28119,28120,1996-02-02,30.518333000000002,-122.25833300000001
28120,28121,1996-02-02,30.17,-122.92166599999999
28121,28122,1996-02-02,29.856665999999997,-123.593333
28122,28123,1996-02-03,30.421666,-123.976666
28123,28124,1996-02-03,30.755,-123.32666599999999
28124,28125,1996-02-03,31.085,-122.65833300000001
28125,28126,1996-02-03,31.418333,-121.983333
28126,28127,1996-02-04,31.755,-121.301666
28127,28128,1996-02-04,32.081666,-120.63666599999999
28128,28129,1996-02-04,32.418333000000004,-119.965
28129,28130,1996-02-04,32.655,-119.483333
28130,28131,1996-02-05,32.92,-118.92833300000001
28131,28132,1996-02-05,33.186665999999995,-118.385
28132,28133,1996-02-05,33.255,-118.25
28133,28134,1996-02-05,33.42,-117.905
28134,28135,1996-02-05,33.481666,-117.77
28135,28136,1996-02-06,33.89,-118.48833300000001
28136,28137,1996-02-06,33.825,-118.62666599999999
28137,28138,1996-02-06,33.653333,-118.97166599999998
28138,28139,1996-02-06,33.491665999999995,-119.31833300000001
28139,28140,1996-02-06,33.318333,-119.665
28140,28141,1996-02-06,33.158333,-120.005
28141,28142,1996-02-07,32.985,-120.343333
28142,28143,1996-02-07,32.656665999999994,-121.03333300000001
28143,28144,1996-02-07,32.316666,-121.715
28144,28145,1996-02-08,32.0,-122.4
28145,28146,1996-02-08,31.658333000000002,-123.06166599999999
28146,28147,1996-02-08,31.325,-123.75
28147,28148,1996-02-09,31.91,-124.15833300000001
28148,28149,1996-02-09,32.245,-123.493333
28149,28150,1996-02-09,32.581666,-122.81833300000001
28150,28151,1996-02-10,32.908333,-122.12
28151,28152,1996-02-10,33.243333,-121.441666
28152,28153,1996-02-10,33.578333,-120.76
28153,28154,1996-02-10,33.75,-120.43
28154,28155,1996-02-10,33.883333,-120.15
28155,28156,1996-02-11,34.225,-119.41333300000001
28156,28157,1996-02-11,34.178333,-119.50833300000001
28157,28158,1996-02-11,34.271665999999996,-120.025
28158,28159,1996-02-11,34.448333,-120.521666
28159,28160,1996-02-11,34.303333,-120.801666
28160,28161,1996-02-12,34.146665999999996,-121.145
28161,28162,1996-02-12,33.81,-121.836666
28162,28163,1996-02-12,33.478333,-122.59166599999999
28163,28164,1996-02-12,33.151666,-123.22
28164,28165,1996-02-13,32.815,-123.903333
28165,28166,1996-02-13,33.388333,-124.321666
28166,28167,1996-02-13,33.718333,-123.62666599999999
28167,28168,1996-02-13,34.05,-122.933333
28168,28169,1996-02-14,34.39,-122.243333
28169,28170,1996-02-14,34.721666,-121.54833300000001
28170,28171,1996-02-14,34.888333,-121.20166599999999
28171,28172,1996-02-14,35.016666,-120.91666599999999
28172,28173,1996-02-14,35.085,-120.778333
28173,28174,1996-04-15,32.951665999999996,-117.30333300000001
28174,28175,1996-04-15,32.911666,-117.39333300000001
28175,28176,1996-04-16,32.848333000000004,-117.52666599999999
28176,28177,1996-04-16,32.681666,-117.873333
28177,28178,1996-04-16,32.513333,-118.213333
28178,28179,1996-04-16,32.358333,-118.54666599999999
28179,28180,1996-04-16,32.18,-118.888333
28180,28181,1996-04-17,32.013333,-119.226666
28181,28182,1996-04-17,31.848333,-119.571666
28182,28183,1996-04-17,31.523333,-120.23833300000001
28183,28184,1996-04-18,31.178333000000002,-120.918333
28184,28185,1996-04-18,30.848333,-121.585
28185,28186,1996-04-18,30.513333000000003,-122.25833300000001
28186,28187,1996-04-18,30.178333000000002,-122.933333
28187,28188,1996-04-19,29.845,-123.586666
28188,28189,1996-04-19,30.415,-123.993333
28189,28190,1996-04-19,30.751665999999997,-123.336666
28190,28191,1996-04-20,31.08,-122.65666599999999
28191,28192,1996-04-20,31.413333,-121.985
28192,28193,1996-04-20,31.745,-121.31333300000001
28193,28194,1996-04-20,32.088333,-120.638333
28194,28195,1996-04-21,32.421665999999995,-119.953333
28195,28196,1996-04-22,32.916666,-118.89
28196,28197,1996-04-22,33.185,-118.385
28197,28198,1996-04-22,33.251666,-118.25
28198,28199,1996-04-22,33.42,-117.903333
28199,28200,1996-04-22,33.485,-117.76666599999999
28200,28201,1996-04-22,33.888333,-118.48833300000001
28201,28202,1996-04-23,33.825,-118.62666599999999
28202,28203,1996-04-23,33.655,-118.975
28203,28204,1996-04-23,33.49,-119.32
28204,28205,1996-04-23,33.325,-119.661666
28205,28206,1996-04-23,33.161666,-120.00333300000001
28206,28207,1996-04-23,32.986666,-120.34833300000001
28207,28208,1996-04-24,32.655,-121.03166599999999
28208,28209,1996-04-24,32.325,-121.71
28209,28210,1996-04-24,31.995,-122.39166599999999
28210,28211,1996-04-24,31.655,-123.07
28211,28212,1996-04-25,31.321665999999997,-123.74
28212,28213,1996-04-25,31.911665999999997,-124.168333
28213,28214,1996-04-25,32.248333,-123.495
28214,28215,1996-04-26,32.576665999999996,-122.78166599999999
28215,28216,1996-04-26,32.911666,-122.12666599999999
28216,28217,1996-04-26,33.246666,-121.445
28217,28218,1996-04-27,33.576665999999996,-120.748333
28218,28219,1996-04-27,33.738333000000004,-120.41
28219,28220,1996-04-27,33.88,-120.135
28220,28221,1996-04-27,34.181666,-119.50833300000001
28221,28222,1996-04-27,34.23,-119.41666599999999
28222,28223,1996-04-27,34.276666,-120.028333
28223,28224,1996-04-28,34.448333,-120.525
28224,28225,1996-04-28,34.321666,-120.79666599999999
28225,28226,1996-04-28,34.151666,-121.14833300000001
