Cruise,Ship,Date,Latitude,Longitude,Abundance per m2,Species
CALCOFI 1004,MILLER FREEMAN,4/27/10,32,-117.3,31.603,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,4/27/10,32,-117.4,8.569,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,4/27/10,32,-118.9,4.305,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,4/28/10,32,-119.233,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/1/10,32,-118.933,64.79,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/2/10,33,-118.633,220.728,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/2/10,33,-118.233,12.006,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/2/10,33,-118.383,70.29,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/3/10,33,-118.967,76.041,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/4/10,32,-119.95,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/13/10,33,-120.133,3436.368,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/14/10,33,-120.4,90.525,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/16/10,34,-121.55,12.6,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/16/10,34,-120.783,294.481,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/16/10,34,-121.15,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/10/11,32.85,-117.533,62.752,Thysanoessa spinifera - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/15/11,32.4167,-119.967,68.586,Thysanoessa spinifera - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/16/11,33.25,-118.25,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/17/11,33.4167,-117.9,2.14,Thysanoessa spinifera - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/18/11,33.65,-118.967,20.776,Thysanoessa spinifera - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/19/11,32.65,-121.033,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/21/11,33.75,-120.417,640.24,Thysanoessa spinifera - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/22/11,34.2833,-120.033,157.212,Thysanoessa spinifera - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/22/11,33.8833,-120.133,39.888,Thysanoessa spinifera - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/23/11,34.45,-120.533,85.536,Thysanoessa spinifera - All phases and stages
CALCOFI 1203,BELL M. SHIMADA,3/24/12,32.95,-117.3,244.608,Thysanoessa spinifera - All phases and stages
CALCOFI 1203,BELL M. SHIMADA,3/25/12,32.9167,-117.4,289.044,Thysanoessa spinifera - All phases and stages
CALCOFI 1203,BELL M. SHIMADA,3/25/12,32.85,-117.533,449.36,Thysanoessa spinifera - All phases and stages
CALCOFI 1203,BELL M. SHIMADA,3/25/12,32.1833,-118.883,0,Thysanoessa spinifera - All phases and stages
