Cruise,Ship,Date,Latitude,Longitude,Abundance per m2,Species
CALCOFI 9602,DAVID STARR JORDAN,1/29/96,32.95,-117.3,2.17,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,1/30/96,32.917,-117.4,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,1/30/96,32.85,-117.533,7.666,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,1/30/96,32.683,-117.867,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,1/30/96,32.517,-118.217,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,1/30/96,32.35,-118.55,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,1/31/96,32.183,-118.9,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,1/31/96,32.017,-119.233,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,1/31/96,31.85,-119.567,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,1/31/96,31.517,-120.25,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/1/96,31.183,-120.917,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/3/96,31.75,-121.317,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/4/96,32.917,-118.933,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/4/96,32.65,-119.483,8.973,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/4/96,32.417,-119.967,14.053,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/4/96,32.083,-120.633,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/5/96,33.883,-118.483,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/5/96,33.817,-118.633,20.195,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/5/96,33.483,-117.767,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/5/96,33.417,-117.9,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/5/96,33.25,-118.25,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/5/96,33.183,-118.383,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/6/96,33.65,-118.967,17.376,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/6/96,33.483,-119.317,46.2,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/6/96,33.317,-119.667,26.396,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/6/96,33.15,-120,39.896,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/6/96,32.983,-120.35,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/7/96,32.65,-121.033,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/7/96,31.983,-122.4,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/9/96,33.25,-121.45,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/9/96,32.917,-122.133,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/10/96,33.883,-120.133,564.042,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/10/96,33.75,-120.417,0,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/10/96,33.583,-120.75,385.008,Thysanoessa spinifera - All phases and stages
CALCOFI 9602,DAVID STARR JORDAN,2/11/96,34.45,-120.517,40.099,Thysanoessa spinifera - All phases and stages
