Date,Latitude,Longitude,Abundance per m2,Species
1996-01-29,32.95,-117.3,2.17,Thysanoessa spinifera - All phases and stages
1996-01-30,32.917,-117.4,0.0,Thysanoessa spinifera - All phases and stages
1996-01-30,32.85,-117.533,7.666,Thysanoessa spinifera - All phases and stages
1996-01-30,32.683,-117.867,0.0,Thysanoessa spinifera - All phases and stages
1996-01-30,32.517,-118.217,0.0,Thysanoessa spinifera - All phases and stages
1996-01-30,32.35,-118.55,0.0,Thysanoessa spinifera - All phases and stages
1996-01-31,32.183,-118.9,0.0,Thysanoessa spinifera - All phases and stages
1996-01-31,32.017,-119.233,0.0,Thysanoessa spinifera - All phases and stages
1996-01-31,31.85,-119.567,0.0,Thysanoessa spinifera - All phases and stages
1996-01-31,31.517,-120.25,0.0,Thysanoessa spinifera - All phases and stages
1996-02-01,31.183000000000003,-120.917,0.0,Thysanoessa spinifera - All phases and stages
1996-02-03,31.75,-121.317,0.0,Thysanoessa spinifera - All phases and stages
1996-02-04,32.917,-118.933,0.0,Thysanoessa spinifera - All phases and stages
1996-02-04,32.65,-119.483,8.972999999999997,Thysanoessa spinifera - All phases and stages
1996-02-04,32.417,-119.967,14.053,Thysanoessa spinifera - All phases and stages
1996-02-04,32.083,-120.633,0.0,Thysanoessa spinifera - All phases and stages
1996-02-05,33.883,-118.483,0.0,Thysanoessa spinifera - All phases and stages
1996-02-05,33.817,-118.633,20.195,Thysanoessa spinifera - All phases and stages
1996-02-05,33.483000000000004,-117.767,0.0,Thysanoessa spinifera - All phases and stages
1996-02-05,33.417,-117.9,0.0,Thysanoessa spinifera - All phases and stages
1996-02-05,33.25,-118.25,0.0,Thysanoessa spinifera - All phases and stages
1996-02-05,33.183,-118.383,0.0,Thysanoessa spinifera - All phases and stages
1996-02-06,33.65,-118.967,17.375999999999998,Thysanoessa spinifera - All phases and stages
1996-02-06,33.483000000000004,-119.317,46.2,Thysanoessa spinifera - All phases and stages
1996-02-06,33.317,-119.667,26.396,Thysanoessa spinifera - All phases and stages
1996-02-06,33.15,-120.0,39.896,Thysanoessa spinifera - All phases and stages
1996-02-06,32.983000000000004,-120.35,0.0,Thysanoessa spinifera - All phases and stages
1996-02-07,32.65,-121.033,0.0,Thysanoessa spinifera - All phases and stages
1996-02-07,31.983,-122.4,0.0,Thysanoessa spinifera - All phases and stages
1996-02-09,33.25,-121.45,0.0,Thysanoessa spinifera - All phases and stages
1996-02-09,32.917,-122.133,0.0,Thysanoessa spinifera - All phases and stages
1996-02-10,33.883,-120.133,564.0419999999998,Thysanoessa spinifera - All phases and stages
1996-02-10,33.75,-120.417,0.0,Thysanoessa spinifera - All phases and stages
1996-02-10,33.583,-120.75,385.008,Thysanoessa spinifera - All phases and stages
1996-02-11,34.45,-120.517,40.099,Thysanoessa spinifera - All phases and stages
1996-02-11,34.317,-120.8,0.0,Thysanoessa spinifera - All phases and stages
