dataset_id,row_id,latitude,longitude,species_name,scientific_name,common_name,itis_tsn,group_size,series_id,date_time,timezone,ds_type,platform,provider,lprecision,tprecision,oceano,notes,last_mod
507,507_54185,33.495501000000004,-120.92596999999999,BLWH,Balaenoptera musculus,Blue Whale,180528,1,,2006-10-31 08:41:18,,ptobs,boat,PRBO Conservation Science,6,111111,"{""oid"": ""507_54185"", ""obsDate"": ""2006-10-31"", ""longitude"": -120.926, ""latitude"": 33.496, ""SST"": {""PF51"": {""YEAR"": 14.775, ""MONTH"": 16.575, ""8DAYS"": 16.05}, ""OISST"": {""DAY"": 16.04, ""8DAYS"": 16.45, ""MONTH"": 16.87, ""YEAR"": 14.93}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 17.67, ""YEAR"": 15.23}, ""HYCOM"": {""MONTH"": 17.06, ""YEAR"": 15.57}}, ""SSH"": {""AVISO"": {""8DAYS"": 62.77}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.74, ""MONTH"": 0.27}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 0.44, ""MONTH"": 0.32, ""YEAR"": 0.92}, ""SeaWiFS"": {""DAY"": 0.53, ""8DAYS"": 0.46, ""MONTH"": 0.29, ""YEAR"": 0.75}}, ""BATH"": {""S2004"": -3557, ""ETOPO1"": -3595.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.42, ""YEAR"": 33.47}}}",,2009-05-19 09:49:32
507,507_54158,33.053163,-120.23543500000001,SPWH,Physeter macrocephalus,Sperm Whale,180488,2,,2006-10-28 14:22:00,,ptobs,boat,PRBO Conservation Science,6,111111,"{""oid"": ""507_54158"", ""obsDate"": ""2006-10-28"", ""longitude"": -120.235, ""latitude"": 33.053, ""SST"": {""PF51"": {""YEAR"": 15.375, ""MONTH"": 17.25, ""8DAYS"": 18.15}, ""OISST"": {""DAY"": 17.28, ""8DAYS"": 16.95, ""MONTH"": 17.06, ""YEAR"": 15.15}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 19.8, ""MONTH"": 18.27, ""YEAR"": 15.68}, ""HYCOM"": {""MONTH"": 17.61, ""YEAR"": 16.27}}, ""SSH"": {""AVISO"": {""8DAYS"": 60.39}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.86, ""MONTH"": 0.56}, ""MODIS"": {""DAY"": 0.77, ""8DAYS"": 0.79, ""MONTH"": 0.61, ""YEAR"": 0.87}, ""SeaWiFS"": {""DAY"": 0.75, ""8DAYS"": 0.75, ""MONTH"": 0.58, ""YEAR"": 0.86}}, ""BATH"": {""S2004"": -467, ""ETOPO1"": -488.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.5, ""YEAR"": 33.44}}}",,2009-05-19 09:49:32
507,507_54156,33.083802,-120.18238799999999,FIWH,Balaenoptera physalus,Fin Whale,180527,3,,2006-10-28 14:06:00,,ptobs,boat,PRBO Conservation Science,6,111111,"{""oid"": ""507_54156"", ""obsDate"": ""2006-10-28"", ""longitude"": -120.182, ""latitude"": 33.084, ""SST"": {""PF51"": {""YEAR"": 15.15, ""MONTH"": 17.175, ""8DAYS"": 18.375}, ""OISST"": {""DAY"": 17.28, ""8DAYS"": 16.95, ""MONTH"": 17.06, ""YEAR"": 15.15}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 19.85, ""MONTH"": 18.27, ""YEAR"": 15.69}, ""HYCOM"": {""MONTH"": 17.61, ""YEAR"": 16.15}}, ""SSH"": {""AVISO"": {""8DAYS"": 60.39}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.88, ""MONTH"": 0.61}, ""MODIS"": {""DAY"": 0.71, ""8DAYS"": 0.71, ""MONTH"": 0.62, ""YEAR"": 0.9}, ""SeaWiFS"": {""DAY"": 0.75, ""8DAYS"": 0.75, ""MONTH"": 0.58, ""YEAR"": 0.86}}, ""BATH"": {""S2004"": -542, ""ETOPO1"": -527.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.5, ""YEAR"": 33.45}}}",,2009-05-19 09:49:32
507,507_53742,34.758781,-121.461095,KIWH,Orcinus orca,Killer Whale,180469,2,,2006-07-23 10:59:42,,ptobs,boat,PRBO Conservation Science,6,111111,"{""oid"": ""507_53742"", ""obsDate"": ""2006-07-23"", ""longitude"": -121.461, ""latitude"": 34.759, ""SST"": {""PF51"": {""YEAR"": 14.625}, ""OISST"": {""DAY"": 17.45, ""8DAYS"": 16.22, ""MONTH"": 14.46, ""YEAR"": 14.26}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 14.92, ""YEAR"": 14.52}, ""HYCOM"": {""MONTH"": 16.4, ""YEAR"": 15.09}}, ""SSH"": {""AVISO"": {""8DAYS"": 50.92}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 1.55, ""MONTH"": 1.22}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 1.62, ""YEAR"": 1.48}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 1.37, ""YEAR"": 1.52}}, ""BATH"": {""S2004"": -706, ""ETOPO1"": -703.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.61, ""YEAR"": 33.44}}}",,2009-05-19 09:49:32
507,507_53709,33.64565,-123.826268,SPWH,Physeter macrocephalus,Sperm Whale,180488,4,,2006-07-22 09:41:42,,ptobs,boat,PRBO Conservation Science,6,111111,"{""oid"": ""507_53709"", ""obsDate"": ""2006-07-22"", ""longitude"": -123.826, ""latitude"": 33.646, ""SST"": {""PF51"": {""YEAR"": 16.125, ""MONTH"": 17.625}, ""OISST"": {""DAY"": 15.71, ""8DAYS"": 16.05, ""MONTH"": 16.62, ""YEAR"": 15.82}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 17.77, ""YEAR"": 16.11}, ""HYCOM"": {""MONTH"": 18.2, ""YEAR"": 16.45}}, ""SSH"": {""AVISO"": {""8DAYS"": 65.95}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.25, ""MONTH"": 0.12, ""8DAYS"": 0.11}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 0.13, ""YEAR"": 0.29}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 0.14, ""MONTH"": 0.13, ""YEAR"": 0.27}}, ""BATH"": {""S2004"": -4131, ""ETOPO1"": -4412.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.03, ""YEAR"": 33.1}}}",,2009-05-19 09:49:32
507,507_53184,31.146182,-121.05194499999999,BLWH,Balaenoptera musculus,Blue Whale,180528,1,,2006-07-10 13:12:12,,ptobs,boat,PRBO Conservation Science,6,111111,"{""oid"": ""507_53184"", ""obsDate"": ""2006-07-10"", ""longitude"": -121.052, ""latitude"": 31.146, ""SST"": {""PF51"": {""YEAR"": 17.925}, ""OISST"": {""DAY"": 16.22, ""8DAYS"": 16.1, ""MONTH"": 17.0, ""YEAR"": 17.12}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 19.11, ""YEAR"": 17.63}, ""HYCOM"": {""MONTH"": 19.41, ""YEAR"": 17.79}}, ""SSH"": {""AVISO"": {""8DAYS"": 59.15}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.12, ""MONTH"": 0.16}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": 0.16}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 0.11, ""YEAR"": 0.15}}, ""BATH"": {""S2004"": -4177, ""ETOPO1"": -4166.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.29, ""YEAR"": 33.3}}}",,2009-05-19 09:49:32
507,507_53873,32.459103000000006,-118.32522900000001,FIWH,Balaenoptera physalus,Fin Whale,180527,1,,2006-10-22 10:14:18,,ptobs,boat,PRBO Conservation Science,6,111111,"{""oid"": ""507_53873"", ""obsDate"": ""2006-10-22"", ""longitude"": -118.325, ""latitude"": 32.459, ""SST"": {""PF51"": {""YEAR"": 17.325, ""MONTH"": 18.975, ""8DAYS"": 18.975}, ""OISST"": {""DAY"": 18.78, ""8DAYS"": 18.66, ""MONTH"": 18.7, ""YEAR"": 17.3}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 20.32, ""MONTH"": 19.83, ""YEAR"": 18.44}, ""HYCOM"": {""MONTH"": 19.25, ""YEAR"": 17.97}}, ""SSH"": {""AVISO"": {""8DAYS"": 61.89}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.32, ""MONTH"": 0.14, ""8DAYS"": 0.16}, ""MODIS"": {""DAY"": 0.21, ""8DAYS"": 0.21, ""MONTH"": 0.18, ""YEAR"": 0.37}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 0.2, ""MONTH"": 0.17, ""YEAR"": 0.35}}, ""BATH"": {""S2004"": -1363, ""ETOPO1"": -1380.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.48, ""YEAR"": 33.5}}}",,2009-05-19 09:49:32
507,507_70221,37.123737,-122.59059599999999,HUWH,Megaptera novaeangliae,Humpback Whale,180530,1,,2006-05-22 08:57:12,,ptobs,boat,PRBO Conservation Science,6,111111,"{""oid"": ""507_70221"", ""obsDate"": ""2006-05-22"", ""longitude"": -122.591, ""latitude"": 37.124, ""SST"": {""PF51"": {""YEAR"": 13.425, ""MONTH"": 12.15}, ""OISST"": {""DAY"": 13.09, ""8DAYS"": 12.93, ""MONTH"": 12.67, ""YEAR"": 13.25}, ""MODIS"": {""DAY"": 13.07, ""8DAYS"": 13.07, ""MONTH"": 13.09, ""YEAR"": 13.45}, ""HYCOM"": {""MONTH"": 13.03, ""YEAR"": 13.67}}, ""SSH"": {""AVISO"": {""8DAYS"": 46.85}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 5.21, ""MONTH"": 9.87, ""8DAYS"": 12.08}, ""MODIS"": {""DAY"": 7.88, ""8DAYS"": 10.53, ""MONTH"": 23.43, ""YEAR"": 10.17}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 8.88, ""MONTH"": 8.65, ""YEAR"": 5.03}}, ""BATH"": {""S2004"": -108, ""ETOPO1"": -106.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}], ""WDPA"": [{""WDPAID"": 555586741, ""NAME"": ""Monterey Bay"", ""DESIG_ENG"": ""National Marine Sanctuary"", ""NO_TAKE"": ""Not Reported""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.05, ""YEAR"": 33.29}}}",,2009-05-19 09:49:32
507,507_70208,37.084725,-122.543846,HUWH,Megaptera novaeangliae,Humpback Whale,180530,5,,2006-05-22 08:34:12,,ptobs,boat,PRBO Conservation Science,6,111111,"{""oid"": ""507_70208"", ""obsDate"": ""2006-05-22"", ""longitude"": -122.544, ""latitude"": 37.085, ""SST"": {""PF51"": {""YEAR"": 13.425, ""MONTH"": 12}, ""OISST"": {""DAY"": 13.09, ""8DAYS"": 12.93, ""MONTH"": 12.67, ""YEAR"": 13.25}, ""MODIS"": {""DAY"": 12.94, ""8DAYS"": 12.94, ""MONTH"": 13.17, ""YEAR"": 13.77}, ""HYCOM"": {""MONTH"": 13.03, ""YEAR"": 13.67}}, ""SSH"": {""AVISO"": {""8DAYS"": 47.21}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 6.28, ""MONTH"": 13.28, ""8DAYS"": 26.92}, ""MODIS"": {""DAY"": 16.66, ""8DAYS"": 22.83, ""MONTH"": 32.0, ""YEAR"": 10.01}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 36.22, ""MONTH"": 21.26, ""YEAR"": 6.88}}, ""BATH"": {""S2004"": -113, ""ETOPO1"": -112.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}], ""WDPA"": [{""WDPAID"": 555586741, ""NAME"": ""Monterey Bay"", ""DESIG_ENG"": ""National Marine Sanctuary"", ""NO_TAKE"": ""Not Reported""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.05, ""YEAR"": 33.29}}}",,2009-05-19 09:49:32
507,507_70202,37.045968,-122.496751,HUWH,Megaptera novaeangliae,Humpback Whale,180530,1,,2006-05-22 08:11:12,,ptobs,boat,PRBO Conservation Science,6,111111,"{""oid"": ""507_70202"", ""obsDate"": ""2006-05-22"", ""longitude"": -122.497, ""latitude"": 37.046, ""SST"": {""PF51"": {""YEAR"": 13.35, ""MONTH"": 11.775}, ""OISST"": {""DAY"": 13.02, ""8DAYS"": 12.77, ""MONTH"": 12.52, ""YEAR"": 13.19}, ""MODIS"": {""DAY"": 12.95, ""8DAYS"": 12.95, ""MONTH"": 12.46, ""YEAR"": 13.39}, ""HYCOM"": {""MONTH"": 12.99, ""YEAR"": 13.61}}, ""SSH"": {""AVISO"": {""8DAYS"": 47.21}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 3.38, ""MONTH"": 5.88, ""8DAYS"": 4.72}, ""MODIS"": {""DAY"": 16.79, ""8DAYS"": 18.14, ""MONTH"": 25.32, ""YEAR"": 7.66}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 6.07, ""MONTH"": 5.68, ""YEAR"": 3.34}}, ""BATH"": {""S2004"": -115, ""ETOPO1"": -116.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}], ""WDPA"": [{""WDPAID"": 555586741, ""NAME"": ""Monterey Bay"", ""DESIG_ENG"": ""National Marine Sanctuary"", ""NO_TAKE"": ""Not Reported""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.1, ""YEAR"": 33.32}}}",,2009-05-19 09:49:32
