"Cst_Cnt","Btl_Cnt","Depthm","LightP","PO4uM","NO2uM","NO3uM","NH3uM"
29339,728478,1,0.96,0.33,0.03,0.3,NA
29339,728479,2,NA,NA,NA,NA,NA
29339,728480,6,0.38,0.33,0.04,0.4,NA
29339,728481,10,0.15,0.36,0.05,0.7,NA
29339,728482,11,0.12,0.37,0.05,0.8,NA
29339,728483,19,0.04,0.39,0.1,1.2,NA
29339,728484,20,0.03,0.42,0.14,1.6,NA
29339,728485,25,0.01,0.63,0.34,4.2,NA
29339,728486,30,0,0.88,0.43,7.5,NA
29339,728487,34,0,1.06,0.46,10,NA
29339,728488,45,NA,1.25,0.17,14,NA
29339,728489,50,NA,1.23,0.23,13.3,NA
29339,728490,56,NA,1.3,0.15,14.6,NA
29340,728491,0,NA,0.3,0,0,NA
29340,728492,2,NA,0.3,0,0,NA
29340,728493,10,NA,0.3,0,0,NA
29340,728494,19,NA,0.31,0.01,0.1,NA
29340,728495,20,NA,0.35,0.03,0.6,NA
29340,728496,29,NA,0.72,0.18,5.7,NA
29340,728497,30,NA,0.75,0.17,6.1,NA
29340,728498,40,NA,0.97,0.05,9.7,NA
29340,728499,50,NA,1.12,0.02,12.6,NA
29340,728500,60,NA,1.35,0.01,15.9,NA
29340,728501,70,NA,1.48,0.01,17.6,NA
29340,728502,75,NA,1.52,0.01,18.2,NA
29340,728503,84,NA,1.57,0.01,19,NA
29340,728504,100,NA,1.69,0,20.3,NA
29340,728505,118,NA,1.74,0.01,21.7,NA
29340,728506,125,NA,1.8,0.01,22.4,NA
29340,728507,139,NA,1.92,0.01,23.8,NA
29340,728508,150,NA,1.98,0.01,24.6,NA
29340,728509,168,NA,2.05,0,25.7,NA
29340,728510,199,NA,2.2,0,27.6,NA
29340,728511,200,NA,2.2,0,27.7,NA
29340,728512,228,NA,2.32,0,29.1,NA
29340,728513,250,NA,2.4,0,30,NA
29340,728514,269,NA,2.47,0,30.6,NA
29340,728515,300,NA,2.56,0,31.5,NA
29340,728516,318,NA,2.61,0,32.1,NA
29340,728517,377,NA,2.8,0,34.8,NA
29340,728518,400,NA,2.87,0,35.7,NA
29340,728519,438,NA,2.97,0.01,37.1,NA
29340,728520,500,NA,3.08,0.01,38.8,NA
29340,728521,520,NA,3.12,0.01,39.4,NA
29341,728522,0,NA,0.31,0.01,0.1,NA
29341,728523,1,NA,0.31,0.01,0.1,NA
29341,728524,10,NA,0.31,0,0,NA
29341,728525,20,NA,0.67,0.16,4.9,NA
29341,728526,29,NA,1.08,0.03,11.4,NA
29341,728527,30,NA,1.09,0.03,11.6,NA
29341,728528,40,NA,1.19,0.02,13.1,NA
29341,728529,49,NA,1.25,0.02,13.9,NA
29341,728530,50,NA,1.26,0.02,14,NA
29341,728531,59,NA,1.32,0.01,15,NA
29341,728532,70,NA,1.4,0.01,16.3,NA
29341,728533,75,NA,1.43,0.01,16.9,NA
29341,728534,85,NA,1.51,0.01,18.2,NA
29341,728535,100,NA,1.66,0.01,20.1,NA
29341,728536,120,NA,1.79,0,22.2,NA
29341,728537,125,NA,1.82,0,22.6,NA
29341,728538,144,NA,1.93,0.01,24.1,NA
29341,728539,150,NA,1.96,0.01,24.5,NA
29341,728540,178,NA,2.11,0.01,26.4,NA
29341,728541,199,NA,2.22,0,27.5,NA
29341,728542,200,NA,2.22,0,27.5,NA
29341,728543,228,NA,2.29,0,28.6,NA
29341,728544,250,NA,2.39,0,29.7,NA
29341,728545,267,NA,2.48,0,30.6,NA
29341,728546,300,NA,2.62,0,32.1,NA
29341,728547,317,NA,2.68,0,32.8,NA
29341,728548,377,NA,2.84,0,35.2,NA
29341,728549,400,NA,2.91,0,36.2,NA
29341,728550,436,NA,3.01,0,37.7,NA
29341,728551,500,NA,3.14,0,39.3,NA
29341,728552,522,NA,3.18,0,39.9,NA
29342,728553,0,NA,0.34,0.04,0.4,NA
29342,728554,2,NA,0.34,0.04,0.4,NA
29342,728555,10,NA,0.36,0.05,0.8,NA
29342,728556,19,NA,0.38,0.08,1.2,NA
29342,728557,20,NA,0.38,0.08,1.2,NA
29342,728558,29,NA,0.43,0.14,1.9,NA
29342,728559,30,NA,0.45,0.16,2.1,NA
29342,728560,39,NA,0.62,0.27,4.3,NA
29342,728561,49,NA,0.78,0.05,7,NA
29342,728562,50,NA,0.8,0.05,7.3,NA
29342,728563,59,NA,0.93,0.03,9.4,NA
29342,728564,69,NA,1.06,0.03,11.3,NA
29342,728565,75,NA,1.12,0.03,12.3,NA
29342,728566,84,NA,1.22,0.02,14.1,NA
29342,728567,99,NA,1.51,0.01,18.8,NA
29342,728568,100,NA,1.52,0.01,19,NA
29342,728569,119,NA,1.72,0.01,21.9,NA
29342,728570,125,NA,1.76,0.01,22.5,NA
29342,728571,139,NA,1.83,0.01,23.6,NA
29342,728572,150,NA,1.88,0.01,24.4,NA
29342,728573,170,NA,1.97,0.01,25.9,NA
29342,728574,197,NA,2.17,0.01,28.1,NA
29342,728575,200,NA,2.18,0.01,28.3,NA
29342,728576,228,NA,2.31,0.01,29.8,NA
29342,728577,250,NA,2.44,0,31.1,NA
29342,728578,268,NA,2.55,0,32.2,NA
29342,728579,300,NA,2.72,0,33.8,NA
29342,728580,317,NA,2.8,0,34.5,NA
29342,728581,376,NA,2.95,0,36.7,NA
29342,728582,400,NA,3.01,0,37.6,NA
29342,728583,436,NA,3.08,0,38.9,NA
29342,728584,500,NA,3.16,0,40.1,NA
29342,728585,522,NA,3.19,0,40.5,NA
29343,728586,0,NA,0.31,0,0.1,NA
29343,728587,1,NA,0.31,0,0.1,NA
29343,728588,10,NA,0.31,0,0.1,NA
29343,728589,20,NA,0.31,0,0.1,NA
29343,728590,30,NA,0.32,0.01,0.2,NA
29343,728591,31,NA,0.32,0.01,0.2,NA
29343,728592,40,NA,0.39,0.1,1,NA
29343,728593,50,NA,0.66,0.44,5.1,NA
29343,728594,61,NA,0.81,0.04,7.6,NA
29343,728595,71,NA,1.03,0.02,11.4,NA
29343,728596,75,NA,1.13,0.02,13,NA
29343,728597,86,NA,1.38,0.01,16.8,NA
29343,728598,100,NA,1.5,0.01,18.7,NA
29343,728599,120,NA,1.74,0,22.4,NA
29343,728600,125,NA,1.79,0,23,NA
29343,728601,139,NA,1.9,0,24.5,NA
29343,728602,150,NA,1.96,0,25.5,NA
29343,728603,169,NA,2.03,0,26.9,NA
29343,728604,200,NA,2.16,0,28.7,NA
29343,728605,229,NA,2.36,0,30.8,NA
29343,728606,250,NA,2.47,0,31.8,NA
29343,728607,269,NA,2.55,0,32.6,NA
29343,728608,300,NA,2.66,0,34.1,NA
29343,728609,318,NA,2.72,0,34.9,NA
29343,728610,377,NA,2.92,0,37,NA
29343,728611,400,NA,2.98,0,37.7,NA
29343,728612,436,NA,3.06,0,38.6,NA
29343,728613,500,NA,3.16,0,40.2,NA
29343,728614,520,NA,3.19,0,40.7,NA
29344,728615,0,0.96,0.31,0,0.1,NA
29344,728616,2,0.96,0.31,0,0.1,NA
29344,728617,9,0.38,0.31,0,0.1,NA
29344,728618,10,0.33,0.31,0,0.1,NA
29344,728619,18,0.12,0.31,0,0.1,NA
29344,728620,20,0.09,0.31,0,0.1,NA
29344,728621,29,0.04,0.32,0.01,0.3,NA
29344,728622,30,0.04,0.37,0.04,1,NA
29344,728623,38,0.01,0.75,0.21,6.7,NA
29344,728624,47,NA,0.9,0.05,9.2,NA
29344,728625,50,0,0.96,0.04,10.1,NA
29344,728626,52,0,1,0.04,10.7,NA
29344,728627,61,NA,1.14,0.04,13.1,NA
29344,728628,69,NA,1.36,0.02,16.7,NA
29344,728629,75,NA,1.44,0.02,18,NA
29344,728630,86,NA,1.53,0.02,19.4,NA
29344,728631,100,NA,1.74,0.01,22.4,NA
29344,728632,101,NA,1.76,0.01,22.6,NA
29344,728633,120,NA,1.94,0,25.3,NA
29344,728634,125,NA,1.98,0,25.7,NA
29344,728635,138,NA,2.06,0,26.6,NA
29344,728636,150,NA,2.1,0,27.2,NA
29344,728637,170,NA,2.16,0,28.2,NA
29344,728638,199,NA,2.34,0,30.2,NA
29344,728639,200,NA,2.35,0,30.3,NA
29344,728640,228,NA,2.5,0,31.9,NA
29344,728641,250,NA,2.61,0,32.9,NA
29344,728642,269,NA,2.69,0,33.8,NA
29344,728643,300,NA,2.81,0,35.4,NA
29344,728644,319,NA,2.87,0,36.3,NA
29344,728645,379,NA,3.02,0,37.9,NA
29344,728646,400,NA,3.06,0,38.6,NA
29344,728647,437,NA,3.13,0,39.7,NA
29344,728648,500,NA,3.2,0,40.8,NA
29344,728649,513,NA,3.22,0,41,NA
29345,728650,0,NA,0.36,0.04,1,NA
29345,728651,2,NA,0.36,0.04,1,NA
29345,728652,9,NA,0.36,0.05,1,NA
29345,728653,10,NA,0.36,0.05,1,NA
29345,728654,19,NA,0.4,0.08,1.5,NA
29345,728655,20,NA,0.41,0.09,1.6,NA
29345,728656,29,NA,0.52,0.2,3.3,NA
29345,728657,30,NA,0.55,0.22,3.7,NA
29345,728658,39,NA,0.86,0.34,8.4,NA
29345,728659,50,NA,1.19,0.03,13.7,NA
29345,728660,60,NA,1.32,0.02,15.9,NA
29345,728661,70,NA,1.44,0.01,17.8,NA
29345,728662,75,NA,1.51,0.01,18.9,NA
29345,728663,85,NA,1.64,0.01,20.9,NA
29345,728664,100,NA,1.76,0.01,22.5,NA
29345,728665,120,NA,1.89,0,24.4,NA
29345,728666,125,NA,1.94,0,25,NA
29345,728667,138,NA,2.07,0,26.6,NA
29345,728668,150,NA,2.13,0,27.4,NA
29345,728669,168,NA,2.19,0,28.3,NA
29345,728670,199,NA,2.41,0.01,30.4,NA
29345,728671,200,NA,2.41,0.01,30.5,NA
29345,728672,227,NA,2.52,0.01,31.8,NA
29345,728673,250,NA,2.59,0,32.9,NA
29345,728674,269,NA,2.65,0,33.7,NA
29345,728675,300,NA,2.76,0,35,NA
29345,728676,316,NA,2.82,0,35.6,NA
29345,728677,378,NA,2.99,0.02,37.6,NA
29345,728678,400,NA,3.03,0.01,38.1,NA
29345,728679,437,NA,3.08,0,38.8,NA
29345,728680,500,NA,3.16,0,40,NA
29345,728681,520,NA,3.18,0,40.4,NA
29346,728682,0,NA,0.35,0.03,0.2,NA
29346,728683,2,NA,0.35,0.03,0.2,NA
29346,728684,10,NA,0.34,0.02,0.2,NA
29346,728685,11,NA,0.34,0.02,0.2,NA
29346,728686,19,NA,0.35,0.02,0.2,NA
29346,728687,20,NA,0.35,0.02,0.2,NA
29346,728688,29,NA,0.35,0.02,0.3,NA
29346,728689,30,NA,0.35,0.02,0.3,NA
29346,728690,39,NA,0.37,0.04,0.6,NA
29346,728691,49,NA,0.4,0.07,0.7,NA
29346,728692,50,NA,0.41,0.08,0.8,NA
29346,728693,60,NA,0.56,0.18,3.2,NA
29346,728694,71,NA,0.78,0.08,7,NA
29346,728695,75,NA,0.9,0.07,9,NA
29346,728696,84,NA,1.17,0.06,13.3,NA
29346,728697,99,NA,1.37,0.01,16.8,NA
29346,728698,100,NA,1.39,0.01,17.1,NA
29346,728699,120,NA,1.78,0,22.7,NA
29346,728700,125,NA,1.83,0,23.4,NA
29346,728701,140,NA,1.91,0,24.6,NA
29346,728702,150,NA,1.93,0,25.2,NA
29346,728703,170,NA,1.98,0,26.3,NA
29346,728704,200,NA,2.18,0,28.7,NA
29346,728705,202,NA,2.2,0,28.9,NA
29346,728706,229,NA,2.36,0,30.6,NA
29346,728707,250,NA,2.46,0,31.8,NA
29346,728708,270,NA,2.55,0,32.8,NA
29346,728709,300,NA,2.66,0,34.2,NA
29346,728710,318,NA,2.72,0,35,NA
29346,728711,378,NA,2.95,0,37.2,NA
29346,728712,400,NA,3,0,38,NA
29346,728713,436,NA,3.07,0,39.1,NA
29346,728714,500,NA,3.22,0,40.6,NA
29346,728715,505,NA,3.23,0,40.7,NA
29347,728716,0,NA,0.35,0.03,0.3,NA
29347,728717,2,NA,0.35,0.03,0.3,NA
29347,728718,10,NA,0.35,0.03,0.3,NA
29347,728719,19,NA,0.34,0.03,0.3,NA
29347,728720,20,NA,0.34,0.03,0.3,NA
29347,728721,30,NA,0.34,0.03,0.3,NA
29347,728722,40,NA,0.41,0.15,1.2,NA
29347,728723,50,NA,0.55,0.21,3.1,NA
29347,728724,59,NA,0.64,0.08,4.7,NA
29347,728725,69,NA,0.67,0.04,5.1,NA
29347,728726,75,NA,0.71,0.03,5.8,NA
29347,728727,83,NA,0.79,0.02,7.3,NA
29347,728728,99,NA,1.06,0.01,11.8,NA
29347,728729,100,NA,1.08,0.01,12.1,NA
29347,728730,119,NA,1.4,0.01,17.4,NA
29347,728731,125,NA,1.48,0.01,18.6,NA
29347,728732,139,NA,1.63,0.01,21,NA
29347,728733,150,NA,1.72,0.01,22.4,NA
29347,728734,169,NA,1.83,0.01,24.2,NA
29347,728735,199,NA,1.98,0,26.4,NA
29347,728736,200,NA,1.99,0,26.5,NA
29347,728737,217,NA,2.13,0,28.3,NA
29347,728738,250,NA,2.35,0,30.9,NA
29347,728739,266,NA,2.43,0,31.9,NA
29347,728740,300,NA,2.59,0,33.4,NA
