"Cst_Cnt","Cruise_ID","Cruise","Cruz_Sta","DbSta_ID","Cast_ID","Sta_ID","Quarter","Sta_Code","Distance","Date","Year","Month","Julian_Date","Julian_Day","Time","Lat_Dec","Lat_Deg","Lat_Min","Lat_Hem","Lon_Dec","Lon_Deg","Lon_Min","Lon_Hem","Rpt_Line","St_Line","Ac_Line","Rpt_Sta","St_Station","Ac_Sta","Bottom_D","Secchi","ForelU","Ship_Name","Ship_Code","Data_Type","Order_Occ","Event_Num","Cruz_Leg","Orig_Sta_ID","Data_Or","Cruz_Num","IntChl","IntC14","Inc_Str","Inc_End","PST_LAN","Civil_T","TimeZone","Wave_Dir","Wave_Ht","Wave_Prd","Wind_Dir","Wind_Spd","Barometer","Dry_T","Wet_T","Wea","Cloud_Typ","Cloud_Amt","Visibility"
29339,"2000-01-07-C-32NM",200001,20000109330267,9330267,"20-0001NM-PR-007-2019-09330267","093.3 026.7",1,"ST",-1.88,"01/07/2000",2000,1,36532,7,"12/30/1899 20:19:00",32.958333,32,57.5,"N",-117.303333,-117,18.2,"W",93.3,93.3,93.3,26.7,26.7,26.7,62,9,NA,"RV NEW HORIZON","32NM","PR",1,2,NA,"93   26.7","3101","0001",51.7,314.6,"12/30/1899 12:58:00","12/30/1899 17:30:00","12/30/1899 11:55:00","12/30/1899 17:26:00",8,29,1,8,28,5,1023.9,16.1,13,1,2,5,8
29340,"2000-01-07-C-32NM",200001,20000109330280,9330280,"20-0001NM-MX-007-2347-09330280","093.3 028.0",1,"ST",-6.81,"01/07/2000",2000,1,36532,7,"12/30/1899 23:47:00",32.91,32,54.6,"N",-117.391666,-117,23.5,"W",93.3,93.3,93.3,28,28,28,643,11,NA,"RV NEW HORIZON","32NM","MX",2,12,NA,"93   28","3101","0001",43.2,NA,"","","","",NA,29,1,8,0,0,1022,15.8,13.4,NA,2,6,8
29341,"2000-01-07-C-32NM",200001,20000109330300,9330300,"20-0001NM-MX-008-0256-09330300","093.3 030.0",1,"ST",-14.64,"01/08/2000",2000,1,36533,8,"12/30/1899 02:56:00",32.85,32,51,"N",-117.53,-117,31.8,"W",93.3,93.3,93.3,30,30,30,836,NA,NA,"RV NEW HORIZON","32NM","MX",3,22,NA,"93   30","3101","0001",35.2,NA,"","","","",NA,NA,NA,NA,23,5,1021.9,14.5,12.5,NA,NA,NA,NA
29342,"2000-01-07-C-32NM",200001,20000109330350,9330350,"20-0001NM-MX-008-0708-09330350","093.3 035.0",1,"ST",-34.9,"01/08/2000",2000,1,36533,8,"12/30/1899 07:08:00",32.678333,32,40.7,"N",-117.876666,-117,52.6,"W",93.3,93.3,93.3,35,35,35.1,614,NA,NA,"RV NEW HORIZON","32NM","MX",4,32,NA,"93   35","3101","0001",30,NA,"","","","",NA,NA,NA,NA,33,5,1022.6,13.8,11.4,NA,NA,NA,NA
29343,"2000-01-07-C-32NM",200001,20000109330400,9330400,"20-0001NM-MX-008-1119-09330400","093.3 040.0",1,"ST",-54.66,"01/08/2000",2000,1,36533,8,"12/30/1899 11:19:00",32.513333,32,30.8,"N",-118.215,-118,12.9,"W",93.3,93.3,93.3,40,40,40,1649,NA,NA,"RV NEW HORIZON","32NM","MX",5,42,NA,"93   40","3101","0001",37.5,NA,"","","","",NA,NA,NA,NA,5,4,1021.4,12.1,11,NA,NA,NA,NA
29344,"2000-01-07-C-32NM",200001,20000109330450,9330450,"20-0001NM-PR-008-1832-09330450","093.3 045.0",1,"ST",-75.55,"01/08/2000",2000,1,36533,8,"12/30/1899 18:32:00",32.348333,32,20.9,"N",-118.578333,-118,34.7,"W",93.3,93.3,93.2,45,45,45.3,1427,14,NA,"RV NEW HORIZON","32NM","PR",6,52,NA,"93   45","3101","0001",38.3,386.2,"12/30/1899 12:00:00","12/30/1899 17:45:00","12/30/1899 12:00:00","12/30/1899 17:35:00",8,30,3,6,35,3,1022.3,14.2,11.8,1,6,3,7
29345,"2000-01-07-C-32NM",200001,20000109330500,9330500,"20-0001NM-MX-008-2138-09330500","093.3 050.0",1,"ST",-94.46,"01/08/2000",2000,1,36533,8,"12/30/1899 21:38:00",32.176666,32,10.6,"N",-118.891666,-118,53.5,"W",93.3,93.3,93.3,50,50,50,1465,11,NA,"RV NEW HORIZON","32NM","MX",7,62,NA,"93   50","3101","0001",36.1,NA,"","","","",NA,33,4,7,33,7,1021.1,13.4,11.9,1,7,1,8
29346,"2000-01-07-C-32NM",200001,20000109330550,9330550,"20-0001NM-MX-009-0214-09330550","093.3 055.0",1,"ST",-114.93,"01/09/2000",2000,1,36534,9,"12/30/1899 02:14:00",32.003333,32,0.2,"N",-119.238333,-119,14.3,"W",93.3,93.3,93.3,55,55,55.1,1734,NA,NA,"RV NEW HORIZON","32NM","MX",8,72,NA,"93   55","3101","0001",35.7,NA,"","","","",NA,NA,NA,NA,32,10,1020.4,14,12,NA,NA,NA,NA
29347,"2000-01-07-C-32NM",200001,20000109330600,9330600,"20-0001NM-MX-009-0616-09330600","093.3 060.0",1,"ST",-134.4,"01/09/2000",2000,1,36534,9,"12/30/1899 06:16:00",31.846666,31,50.8,"N",-119.573333,-119,34.4,"W",93.3,93.3,93.3,60,60,60,1904,NA,NA,"RV NEW HORIZON","32NM","MX",9,82,NA,"93   60","3101","0001",31.7,NA,"","","","",NA,NA,NA,NA,32,10,1022,14.1,12.2,NA,NA,NA,NA
29348,"2000-01-07-C-32NM",200001,20000109330700,9330700,"20-0001NM-MX-009-1240-09330700","093.3 070.0",1,"ST",-174.4,"01/09/2000",2000,1,36534,9,"12/30/1899 12:40:00",31.518333,31,31.1,"N",-120.255,-120,15.3,"W",93.3,93.3,93.3,70,70,70.1,3943,NA,NA,"RV NEW HORIZON","32NM","MX",10,92,NA,"93   70","3101","0001",29.2,NA,"","","","",NA,NA,NA,NA,32,18,1021.8,13.6,12.4,NA,NA,NA,NA
