"","Cst_Cnt","Btl_Cnt","Depthm","LightP","PO4uM","NO2uM","NO3uM","NH3uM"
"1",28108,691492,0,NA,0.22,0.01,0,NA
"2",28108,691493,2,NA,0.22,0.01,0,NA
"3",28108,691494,5,NA,0.22,0.01,0,NA
"4",28108,691495,10,NA,0.23,0.01,0,NA
"5",28108,691496,15,NA,0.36,0.08,0.8,NA
"6",28108,691497,20,NA,0.8,0.36,7,NA
"7",28108,691498,30,NA,1.18,0.05,12.7,NA
"8",28108,691499,40,NA,1.33,0.09,14.9,NA
"9",28108,691500,50,NA,1.55,0.15,17.7,NA
"10",28108,691501,60,NA,1.63,0.17,18.9,NA
"11",28109,691502,0,NA,0.29,0.01,0,NA
"12",28109,691503,1,NA,0.29,0.01,0,NA
"13",28109,691504,10,NA,0.27,0.01,0,NA
"14",28109,691505,20,NA,0.38,0.03,0.3,NA
"15",28109,691506,21,NA,0.39,0.03,0.3,NA
"16",28109,691507,30,NA,0.79,0.2,6.7,NA
"17",28109,691508,31,NA,0.84,0.21,7.5,NA
"18",28109,691509,41,NA,1.14,0.04,12.4,NA
"19",28109,691510,50,NA,1.3,0.03,14.6,NA
"20",28109,691511,60,NA,1.36,0.02,15.6,NA
"21",28109,691512,70,NA,1.49,0.02,17.2,NA
"22",28109,691513,75,NA,1.56,0.02,18.3,NA
"23",28109,691514,85,NA,1.69,0.01,20.4,NA
"24",28109,691515,100,NA,1.88,0.01,22.9,NA
"25",28109,691516,120,NA,2.01,0.01,24.6,NA
"26",28109,691517,125,NA,2.03,0.01,24.9,NA
"27",28109,691518,139,NA,2.09,0.01,25.6,NA
"28",28109,691519,150,NA,2.17,0.01,26.5,NA
"29",28109,691520,170,NA,2.32,0.01,28.1,NA
"30",28109,691521,199,NA,2.46,0.01,29.5,NA
"31",28109,691522,200,NA,2.46,0.01,29.5,NA
"32",28109,691523,229,NA,2.53,0.01,30.2,NA
"33",28109,691524,250,NA,2.58,0.01,30.8,NA
"34",28109,691525,269,NA,2.63,0.01,31.5,NA
"35",28109,691526,300,NA,2.7,0,32.6,NA
"36",28109,691527,319,NA,2.75,0,33.4,NA
"37",28109,691528,378,NA,2.91,0,36.1,NA
"38",28109,691529,400,NA,2.98,0,36.8,NA
"39",28109,691530,436,NA,3.07,0,37.8,NA
"40",28109,691531,500,NA,3.14,0,39.2,NA
"41",28109,691532,513,NA,3.16,0,39.5,NA
"42",28110,691533,0,NA,0.3,0,0,NA
"43",28110,691534,2,NA,0.3,0,0,NA
"44",28110,691535,10,NA,0.29,0,0,NA
"45",28110,691536,20,NA,0.23,0,0,NA
"46",28110,691537,30,NA,0.67,0.13,5,NA
"47",28110,691538,39,NA,1.02,0.04,10.6,NA
"48",28110,691539,50,NA,1.15,0.03,12.7,NA
"49",28110,691540,59,NA,1.21,0.03,13.6,NA
"50",28110,691541,69,NA,1.4,0.02,16.4,NA
"51",28110,691542,75,NA,1.49,0.02,17.7,NA
"52",28110,691543,85,NA,1.64,0.01,19.5,NA
"53",28110,691544,99,NA,1.85,0.01,22.1,NA
"54",28110,691545,100,NA,1.86,0.01,22.3,NA
"55",28110,691546,119,NA,2.03,0.01,24.6,NA
"56",28110,691547,125,NA,2.08,0.01,25.1,NA
"57",28110,691548,139,NA,2.18,0.01,26.2,NA
"58",28110,691549,150,NA,2.25,0.01,27,NA
"59",28110,691550,171,NA,2.36,0.01,28.2,NA
"60",28110,691551,199,NA,2.46,0.01,29.3,NA
"61",28110,691552,200,NA,2.46,0.01,29.3,NA
"62",28110,691553,229,NA,2.56,0.01,30.2,NA
"63",28110,691554,250,NA,2.59,0,30.8,NA
"64",28110,691555,267,NA,2.62,0,31.3,NA
"65",28110,691556,300,NA,2.72,0,32.5,NA
"66",28110,691557,317,NA,2.78,0,33.2,NA
"67",28110,691558,377,NA,2.92,0,35.2,NA
"68",28110,691559,400,NA,2.98,0,36,NA
"69",28110,691560,437,NA,3.06,0,37.4,NA
"70",28110,691561,500,NA,3.17,0,39.4,NA
"71",28110,691562,515,NA,3.2,0,39.9,NA
"72",28111,691563,0,93.4,0.29,0,0.1,NA
"73",28111,691564,2,93.4,0.29,0,0.1,NA
"74",28111,691565,2,NA,NA,NA,NA,NA
"75",28111,691566,10,62.3,0.28,0,0.1,NA
"76",28111,691567,15,36.6,0.28,0,0.1,NA
