Date,Latitude,Longitude,Abundance per m2,Species
1/29/96,32.95,-117.3,2.17,Thysanoessa spinifera - All phases and stages
1/30/96,32.917,-117.4,0.0,Thysanoessa spinifera - All phases and stages
1/30/96,32.85,-117.53299999999999,7.666,Thysanoessa spinifera - All phases and stages
1/30/96,32.683,-117.867,0.0,Thysanoessa spinifera - All phases and stages
1/30/96,32.516999999999996,-118.21700000000001,0.0,Thysanoessa spinifera - All phases and stages
1/30/96,32.35,-118.55,0.0,Thysanoessa spinifera - All phases and stages
1/31/96,32.183,-118.9,0.0,Thysanoessa spinifera - All phases and stages
1/31/96,32.016999999999996,-119.23299999999999,0.0,Thysanoessa spinifera - All phases and stages
1/31/96,31.85,-119.56700000000001,0.0,Thysanoessa spinifera - All phases and stages
1/31/96,31.517,-120.25,0.0,Thysanoessa spinifera - All phases and stages
2/1/96,31.183000000000003,-120.917,0.0,Thysanoessa spinifera - All phases and stages
2/3/96,31.75,-121.31700000000001,0.0,Thysanoessa spinifera - All phases and stages
2/4/96,32.917,-118.93299999999999,0.0,Thysanoessa spinifera - All phases and stages
2/4/96,32.65,-119.48299999999999,8.972999999999999,Thysanoessa spinifera - All phases and stages
2/4/96,32.417,-119.96700000000001,14.052999999999999,Thysanoessa spinifera - All phases and stages
2/4/96,32.083,-120.633,0.0,Thysanoessa spinifera - All phases and stages
2/5/96,33.883,-118.48299999999999,0.0,Thysanoessa spinifera - All phases and stages
2/5/96,33.817,-118.633,20.195,Thysanoessa spinifera - All phases and stages
2/5/96,33.483000000000004,-117.76700000000001,0.0,Thysanoessa spinifera - All phases and stages
2/5/96,33.417,-117.9,0.0,Thysanoessa spinifera - All phases and stages
2/5/96,33.25,-118.25,0.0,Thysanoessa spinifera - All phases and stages
2/5/96,33.183,-118.383,0.0,Thysanoessa spinifera - All phases and stages
2/6/96,33.65,-118.96700000000001,17.375999999999998,Thysanoessa spinifera - All phases and stages
2/6/96,33.483000000000004,-119.31700000000001,46.2,Thysanoessa spinifera - All phases and stages
2/6/96,33.317,-119.667,26.396,Thysanoessa spinifera - All phases and stages
2/6/96,33.15,-120.0,39.896,Thysanoessa spinifera - All phases and stages
2/6/96,32.983000000000004,-120.35,0.0,Thysanoessa spinifera - All phases and stages
2/7/96,32.65,-121.03299999999999,0.0,Thysanoessa spinifera - All phases and stages
2/7/96,31.983,-122.4,0.0,Thysanoessa spinifera - All phases and stages
2/9/96,33.25,-121.45,0.0,Thysanoessa spinifera - All phases and stages
2/9/96,32.917,-122.133,0.0,Thysanoessa spinifera - All phases and stages
2/10/96,33.883,-120.133,564.0419999999999,Thysanoessa spinifera - All phases and stages
2/10/96,33.75,-120.417,0.0,Thysanoessa spinifera - All phases and stages
2/10/96,33.583,-120.75,385.00800000000004,Thysanoessa spinifera - All phases and stages
2/11/96,34.45,-120.51700000000001,40.099000000000004,Thysanoessa spinifera - All phases and stages
2/11/96,34.317,-120.8,0.0,Thysanoessa spinifera - All phases and stages
2/11/96,34.15,-121.15,0.0,Thysanoessa spinifera - All phases and stages
2/11/96,34.283,-120.03299999999999,811.189,Thysanoessa spinifera - All phases and stages
2/11/96,34.233000000000004,-119.417,3.7969999999999997,Thysanoessa spinifera - All phases and stages
2/11/96,34.183,-119.5,608.007,Thysanoessa spinifera - All phases and stages
2/12/96,33.817,-121.85,0.0,Thysanoessa spinifera - All phases and stages
2/14/96,35.083,-120.78299999999999,257.64,Thysanoessa spinifera - All phases and stages
2/14/96,35.016999999999996,-120.917,373.51099999999997,Thysanoessa spinifera - All phases and stages
2/14/96,34.883,-121.2,0.0,Thysanoessa spinifera - All phases and stages
