latitude,longitude,species_name,common_name,group_size,date_time
33.495501000000004,-120.92597,BLWH,Blue Whale,1,2006-10-31 08:41:18
33.053163,-120.235435,SPWH,Sperm Whale,2,2006-10-28 14:22:00
33.083802,-120.182388,FIWH,Fin Whale,3,2006-10-28 14:06:00
34.758781,-121.461095,KIWH,Killer Whale,2,2006-07-23 10:59:42
33.64565,-123.826268,SPWH,Sperm Whale,4,2006-07-22 09:41:42
31.146182,-121.051945,BLWH,Blue Whale,1,2006-07-10 13:12:12
32.459103000000006,-118.325229,FIWH,Fin Whale,1,2006-10-22 10:14:18
37.123737,-122.590596,HUWH,Humpback Whale,1,2006-05-22 08:57:12
37.084725,-122.543846,HUWH,Humpback Whale,5,2006-05-22 08:34:12
37.045968,-122.496751,HUWH,Humpback Whale,1,2006-05-22 08:11:12
36.987832,-122.426109,HUWH,Humpback Whale,1,2006-05-22 07:36:48
36.968453,-122.40256200000002,HUWH,Humpback Whale,2,2006-05-22 07:25:18
36.848031,-122.221543,HUWH,Humpback Whale,1,2006-05-22 06:06:24
36.626386,-122.303799,HUWH,Humpback Whale,1,2006-05-21 18:38:54
36.591075,-122.444214,HUWH,Humpback Whale,1,2006-05-21 16:39:48
36.775087,-122.337499,HUWH,Humpback Whale,3,2006-05-21 12:00:48
32.923815999999995,-117.836904,BLWH,Blue Whale,1,2006-05-19 11:48:24
32.739606,-118.719302,HUWH,Humpback Whale,1,2006-05-14 18:53:24
37.268586,-122.74298,HUWH,Humpback Whale,1,2006-05-22 10:13:36
37.247832,-122.721295,HUWH,Humpback Whale,3,2006-05-22 10:02:42
37.144058,-122.612868,HUWH,Humpback Whale,1,2006-05-22 09:08:18
33.740407,-119.360126,HUWH,Humpback Whale,2,2006-05-13 15:02:24
34.216921,-120.555178,HUWH,Humpback Whale,1,2006-05-12 12:26:18
34.82626,-121.246088,FIWH,Fin Whale,1,2006-05-20 13:42:24
34.800564,-121.236003,HUWH,Humpback Whale,3,2006-05-20 13:33:42
34.774867,-121.225917,HUWH,Humpback Whale,1,2006-05-20 13:24:54
34.774867,-121.225917,HUWH,Humpback Whale,7,2006-05-20 13:24:54
34.623361,-121.156926,HUWH,Humpback Whale,1,2006-05-20 12:26:48
34.598641,-121.143742,HUWH,Humpback Whale,2,2006-05-20 12:16:24
34.598641,-121.143742,BLWH,Blue Whale,1,2006-05-20 12:16:24
34.49876,-121.042244,HUWH,Humpback Whale,1,2006-05-20 11:22:48
34.464347,-120.991797,HUWH,Humpback Whale,3,2006-05-20 11:01:00
34.296557,-120.736558,HUWH,Humpback Whale,6,2006-05-20 09:11:42
